param_id,solver_method,solver_crossover,time_limit_sec,numeric_focus,process_return_code,sol_count,status,outcome,error,run_wall_time_sec,step_build_time_sec,step_optimize_time_sec,num_vars,num_constrs,num_nz,row_csv,summary_json,stdout_tail,stderr_tail,recommended
p01,2,0,10,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",21.70874025003286,10.784942208963912,10.044478208001237,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p01.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p01.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 21.70874025003286, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p01.csv"", ""metrics_summary"": {}}",W20260317 22:24:22.834318 0x16d7fb000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p02,2,0,15,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",26.943901207996532,10.927246875013225,15.13267108303262,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p02.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p02.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 26.943901207996532, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p02.csv"", ""metrics_summary"": {}}",W20260317 22:24:45.695845 0x173087000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p03,2,0,20,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",31.898783583019394,10.928588917013258,20.06987233401742,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p03.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p03.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 31.898783583019394, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p03.csv"", ""metrics_summary"": {}}",W20260317 22:25:13.696370 0x16daa3000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p04,1,0,10,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",21.75958729197737,10.876936750020832,10.000590500014368,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p04.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p04.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 21.75958729197737, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 1, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p04.csv"", ""metrics_summary"": {}}",W20260317 22:25:46.645603 0x16c10f000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p05,1,0,15,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",26.849633374949917,10.937639624986332,15.002416916016955,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p05.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p05.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 26.849633374949917, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 1, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p05.csv"", ""metrics_summary"": {}}",W20260317 22:26:09.490189 0x16e283000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p06,1,0,20,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",31.725451958016492,10.861033334047534,20.000118917028885,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p06.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p06.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 31.725451958016492, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 1, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p06.csv"", ""metrics_summary"": {}}",W20260317 22:26:37.401445 0x16e247000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p07,2,1,10,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",21.890025625005364,10.980945917021018,10.019721165997908,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p07.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p07.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 21.890025625005364, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 1, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p07.csv"", ""metrics_summary"": {}}",W20260317 22:27:10.161847 0x16d46f000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p08,2,1,15,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",26.766511374968104,10.840696999977808,15.056619125010911,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p08.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p08.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 26.766511374968104, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 1, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p08.csv"", ""metrics_summary"": {}}",W20260317 22:27:33.214119 0x16d6eb000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p09,2,1,20,0,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",31.898440874996595,10.971315708011389,20.049434459011536,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p09.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p09.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 31.898440874996595, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 1, ""reposition_numeric_focus"": 0, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p09.csv"", ""metrics_summary"": {}}",W20260317 22:28:01.037727 0x16f84b000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p10,2,0,10,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",21.856232166988775,10.893718167033512,10.077194208046421,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p10.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p10.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 21.856232166988775, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 1, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p10.csv"", ""metrics_summary"": {}}",W20260317 22:28:33.986494 0x16de2f000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p11,2,0,15,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",26.902694416989107,10.956838666053955,15.075761915999465,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p11.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p11.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 26.902694416989107, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 1, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p11.csv"", ""metrics_summary"": {}}",W20260317 22:28:56.903219 0x16f5e3000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p12,2,0,20,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",31.855116833001375,10.87920354201924,20.10197508399142,680265,218360,7941532,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p12.csv,/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p12.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 31.855116833001375, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 1, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/.codex/worktrees/c4eb/BSM/results/diagnostics/reposition_solver_param_sweep_runs/p12.csv"", ""metrics_summary"": {}}",W20260317 22:29:24.857871 0x16fe47000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
