param_id,solver_method,solver_crossover,time_limit_sec,numeric_focus,presolve,lp_warm_start_mode,use_lp_primal_start,process_return_code,sol_count,status,outcome,error,run_wall_time_sec,step_build_time_sec,step_optimize_time_sec,iter_count,bar_iter_count,obj_val,obj_bound,lp_warm_start_applied,lp_warm_start_var_count,num_vars,num_constrs,num_nz,row_csv,summary_json,stdout_tail,stderr_tail,recommended
p01,2,0,10,0,-1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",22.542111583054066,11.645858875010163,10.021109499968588,0.0,16,,2274.000060157017,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p01.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p01.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 22.542111583054066, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p01.csv"", ""metrics_summary"": {}}",W20260317 22:57:24.981256 0x16b18f000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p02,2,0,15,0,-1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",27.153954041015822,11.216990916989744,15.06320362497354,0.0,31,,1874.856697381372,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p02.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p02.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 27.153954041015822, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p02.csv"", ""metrics_summary"": {}}",W20260317 22:57:48.717825 0x16be63000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p03,2,0,20,0,-1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",32.22698799998034,11.283991542004514,20.05447679205099,0.0,46,,1873.0655224037366,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p03.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p03.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 32.22698799998034, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p03.csv"", ""metrics_summary"": {}}",W20260317 22:58:16.935257 0x16e47f000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p04,2,0,10,1,-1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",22.139088959025685,11.213389792013913,10.039720207976643,0.0,18,,2074.9548977941718,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p04.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p04.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 22.139088959025685, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 1, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p04.csv"", ""metrics_summary"": {}}",W20260317 22:58:50.220741 0x16dcd3000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p05,2,0,15,1,-1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",27.127132624969818,11.18449833302293,15.050090000033379,0.0,31,,1875.2691485418634,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p05.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p05.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 27.127132624969818, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 1, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p05.csv"", ""metrics_summary"": {}}",W20260317 22:59:13.404293 0x1705e7000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p06,2,0,20,1,-1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",32.27065883396426,11.229362834012136,20.133824124990497,0.0,46,,1873.061799728559,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p06.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p06.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 32.27065883396426, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 1, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p06.csv"", ""metrics_summary"": {}}",W20260317 22:59:41.573828 0x16f9bb000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p07,2,0,10,0,1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",22.191327583044767,11.209844708966557,10.08815687499009,0.0,17,,2138.2848489805665,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p07.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p07.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 22.191327583044767, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": 1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p07.csv"", ""metrics_summary"": {}}",W20260317 23:00:14.904358 0x16e47b000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p08,2,0,15,0,1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",27.136654250032734,11.179829208995216,15.06716995901661,0.0,30,,1876.4228001394824,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p08.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p08.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 27.136654250032734, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": 1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p08.csv"", ""metrics_summary"": {}}",W20260317 23:00:38.145029 0x16d2c3000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p09,2,0,20,0,1,2,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",32.211608959012665,11.245524042053148,20.05930633400567,0.0,44,,1873.0692076961427,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p09.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p09.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 32.211608959012665, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": 1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 2, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p09.csv"", ""metrics_summary"": {}}",W20260317 23:01:06.325987 0x17037b000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p10,2,0,10,0,-1,1,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",22.21339716599323,11.260348999989219,10.049470167024992,0.0,17,,2138.2848489805665,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p10.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p10.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 22.21339716599323, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 10.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 1, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p10.csv"", ""metrics_summary"": {}}",W20260317 23:01:39.595072 0x16e553000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p11,2,0,15,0,-1,1,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",27.148081874998752,11.223086999962106,15.054612583015114,0.0,30,,1876.4228001394824,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p11.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p11.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 27.148081874998752, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 15.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 1, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p11.csv"", ""metrics_summary"": {}}",W20260317 23:02:02.856580 0x16de73000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
p12,2,0,20,0,-1,1,1,0,0,9,exception,"RuntimeError: gurobi_reposition_policy failed: reposition model has no solution, status=9",32.15902070800075,11.234984500042628,20.04340704198694,0.0,46,,1873.0655224037366,1,680265,680265,218360,7941532,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p12.csv,/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p12.summary.json,"Summary JSON: {""rows"": 1, ""effective_horizon"": 64, ""requested_limit"": 1, ""executed_steps"": 1, ""timed_out"": false, ""max_run_seconds"": 240.0, ""run_wall_time_sec"": 32.15902070800075, ""reposition_solver"": ""gurobi"", ""charging_solver"": ""fcfs"", ""inventory_per_station"": 5, ""chargers_per_station"": 5, ""swap_capacity_per_station"": 6, ""solver_time_limit_sec"": 20.0, ""reposition_solver_method"": 2, ""reposition_solver_crossover"": 0, ""reposition_numeric_focus"": 0, ""reposition_presolve"": -1, ""reposition_use_lp_primal_start"": true, ""reposition_lp_warm_start_mode"": 1, ""reposition_eliminate_auxiliary_vars"": true, ""reposition_preaggregate_transitions"": true, ""outcome_counts"": {""exception"": 1}, ""status_counts"": {""9"": 1}, ""failed_steps"": [0], ""output_csv"": ""/Users/zilongzeng/Research/BSM/results/diagnostics/reposition_solver_param_sweep_runs_strict_v3_focus/p12.csv"", ""metrics_summary"": {}}",W20260317 23:02:31.052193 0x16d6cb000 cpu_info.cc:239] IOError: sysctlbyname failed for 'hw.optional.neon'. Detail: [errno 1] Operation not permitted,0
