time_slot,charging_demand,number_of_swaps,unmet_battery_demand,served,idle_moves,swap_arrivals,swap_requests,swap_success_ratio,deadline_misses,deadline_miss_ratio,charging_deadline_misses,charging_deadline_miss_ratio,charging_power_kw,total_charging_demand_kw,station_total_power_kw,peak_station_power_kw,waiting_time_for_battery_slots,waiting_vehicles,idle_driving_distance,vacant,occupied,full_batteries,t
0,616,616,132,970,1718,748,748,0.8235294117647058,132,0.17647058823529413,0,0.0,18480.0,18480.0,23780.0,110.0,132.0,132,0.0,3309,315,709,0
1,748,132,24,837,861,24,156,0.8461538461538461,24,0.15384615384615385,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3304,428,577,1
2,748,0,24,774,774,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3291,441,577,2
3,748,0,24,723,723,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3283,449,577,3
4,748,0,24,694,694,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3284,448,577,4
5,748,0,24,683,683,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3327,405,577,5
6,748,0,24,708,708,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3367,365,577,6
7,748,0,24,660,660,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3419,313,577,7
8,748,0,24,690,690,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3422,310,577,8
9,748,0,24,654,654,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3454,278,577,9
10,748,0,24,608,608,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3465,267,577,10
11,748,0,24,526,526,0,24,0.0,24,1.0,0,0.0,18480.0,22440.0,23780.0,110.0,24.0,24,0.0,3510,222,577,11
12,749,1,24,553,554,1,25,0.04,24,0.96,0,0.0,18480.0,22470.0,23780.0,110.0,24.0,24,0.0,3544,188,576,12
13,749,0,24,531,531,0,24,0.0,24,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,24.0,24,0.0,3565,167,576,13
14,749,0,24,477,477,0,24,0.0,24,1.0,0,0.0,18480.0,22470.0,23780.0,110.0,24.0,24,0.0,3615,117,576,14
15,750,1,24,489,490,1,25,0.04,24,0.96,0,0.0,18510.0,22500.0,23810.0,110.0,24.0,24,0.0,3624,108,598,15
16,727,0,24,507,507,0,24,0.0,24,1.0,0,0.0,17820.0,21810.0,23120.0,110.0,24.0,24,0.0,3642,90,719,16
17,607,1,23,436,436,0,24,0.041666666666666664,23,0.9583333333333334,0,0.0,14760.0,18210.0,20060.0,110.0,23.0,23,0.0,3649,84,876,17
18,452,3,20,425,425,0,23,0.13043478260869565,20,0.8695652173913043,0,0.0,11400.0,13560.0,16700.0,110.0,20.0,20,0.0,3644,92,1047,18
19,296,18,3,341,342,1,21,0.8571428571428571,3,0.14285714285714285,0,0.0,7950.0,8880.0,13250.0,110.0,3.0,3,0.0,3686,67,1169,19
20,159,3,0,271,271,0,3,1.0,0,0.0,132,44.0,4620.0,4770.0,9920.0,110.0,0.0,0,0.0,3709,47,1166,20
21,27,0,0,264,264,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3706,50,1166,21
22,27,0,0,260,260,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3708,48,1166,22
23,27,0,0,231,231,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3715,41,1166,23
24,27,0,0,257,257,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3722,34,1166,24
25,27,0,0,309,309,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3710,46,1166,25
26,27,0,0,329,329,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3709,47,1166,26
27,27,0,0,314,314,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3712,44,1166,27
28,27,0,0,321,321,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3705,51,1166,28
29,27,0,0,355,355,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3700,56,1166,29
30,27,0,0,402,402,0,0,0.0,0,0.0,0,0.0,810.0,810.0,6110.0,110.0,0.0,0,0.0,3686,70,1167,30
31,26,0,0,416,416,0,0,0.0,0,0.0,1,0.0,780.0,780.0,6080.0,110.0,0.0,0,0.0,3684,72,1167,31
32,25,0,0,440,440,0,0,0.0,0,0.0,0,0.0,750.0,750.0,6050.0,110.0,0.0,0,0.0,3672,84,1167,32
33,25,0,0,452,452,0,0,0.0,0,0.0,0,0.0,750.0,750.0,6050.0,110.0,0.0,0,0.0,3659,97,1168,33
34,24,0,0,468,468,0,0,0.0,0,0.0,0,0.0,720.0,720.0,6020.0,110.0,0.0,0,0.0,3637,119,1170,34
35,22,0,0,532,532,0,0,0.0,0,0.0,0,0.0,660.0,660.0,5960.0,110.0,0.0,0,0.0,3658,98,1176,35
36,16,0,0,574,574,0,0,0.0,0,0.0,0,0.0,480.0,480.0,5780.0,110.0,0.0,0,0.0,3621,135,1185,36
37,7,0,0,605,605,0,0,0.0,0,0.0,0,0.0,210.0,210.0,5510.0,110.0,0.0,0,0.0,3590,166,1189,37
38,3,0,0,615,615,0,0,0.0,0,0.0,0,0.0,90.0,90.0,5390.0,110.0,0.0,0,0.0,3564,192,1191,38
39,3,2,0,603,605,2,2,1.0,0,0.0,0,0.0,90.0,90.0,5390.0,50.0,0.0,0,0.0,3567,189,1190,39
40,3,1,0,664,665,1,1,1.0,0,0.0,0,0.0,90.0,90.0,5390.0,50.0,0.0,0,0.0,3579,177,1189,40
41,4,1,0,659,660,1,1,1.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3585,171,1188,41
42,4,0,0,621,621,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3570,186,1188,42
43,4,0,0,625,625,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3579,177,1188,43
44,4,0,0,652,652,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3574,182,1188,44
45,4,0,0,663,663,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3560,196,1188,45
46,4,0,0,620,620,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3550,206,1188,46
47,4,0,0,619,619,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3528,228,1188,47
48,4,0,0,599,599,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3531,225,1188,48
49,4,0,0,603,603,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3537,219,1188,49
50,5,1,0,616,617,1,1,1.0,0,0.0,0,0.0,150.0,150.0,5450.0,80.0,0.0,0,0.0,3540,216,1187,50
51,5,0,0,610,610,0,0,0.0,0,0.0,0,0.0,150.0,150.0,5450.0,80.0,0.0,0,0.0,3525,231,1187,51
52,6,1,0,639,640,1,1,1.0,0,0.0,0,0.0,180.0,180.0,5480.0,80.0,0.0,0,0.0,3493,263,1186,52
53,6,0,0,615,615,0,0,0.0,0,0.0,0,0.0,180.0,180.0,5480.0,80.0,0.0,0,0.0,3470,286,1186,53
54,6,0,0,604,604,0,0,0.0,0,0.0,0,0.0,180.0,180.0,5480.0,80.0,0.0,0,0.0,3478,278,1188,54
55,5,1,0,597,598,1,1,1.0,0,0.0,0,0.0,150.0,150.0,5450.0,80.0,0.0,0,0.0,3509,247,1188,55
56,5,1,0,616,617,1,1,1.0,0,0.0,0,0.0,150.0,150.0,5450.0,50.0,0.0,0,0.0,3485,271,1188,56
57,4,0,0,608,608,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,50.0,0.0,0,0.0,3500,256,1188,57
58,4,0,0,624,624,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,50.0,0.0,0,0.0,3489,267,1188,58
59,5,1,0,631,632,1,1,1.0,0,0.0,0,0.0,150.0,150.0,5450.0,50.0,0.0,0,0.0,3484,272,1187,59
60,6,1,0,609,610,1,1,1.0,0,0.0,0,0.0,180.0,180.0,5480.0,50.0,0.0,0,0.0,3437,319,1186,60
61,8,2,0,577,579,2,2,1.0,0,0.0,0,0.0,240.0,240.0,5540.0,50.0,0.0,0,0.0,3436,320,1184,61
62,8,0,0,585,585,0,0,0.0,0,0.0,0,0.0,240.0,240.0,5540.0,50.0,0.0,0,0.0,3420,336,1184,62
63,8,0,0,539,539,0,0,0.0,0,0.0,0,0.0,240.0,240.0,5540.0,50.0,0.0,0,0.0,3469,287,1184,63
64,8,0,0,612,612,0,0,0.0,0,0.0,0,0.0,240.0,240.0,5540.0,50.0,0.0,0,0.0,3406,350,1184,64
65,8,0,0,537,537,0,0,0.0,0,0.0,0,0.0,240.0,240.0,5540.0,50.0,0.0,0,0.0,3452,304,1185,65
66,9,2,0,557,559,2,2,1.0,0,0.0,0,0.0,270.0,270.0,5570.0,50.0,0.0,0,0.0,3441,315,1183,66
67,9,0,0,535,535,0,0,0.0,0,0.0,0,0.0,270.0,270.0,5570.0,50.0,0.0,0,0.0,3464,292,1184,67
68,9,1,0,555,556,1,1,1.0,0,0.0,0,0.0,270.0,270.0,5570.0,50.0,0.0,0,0.0,3469,287,1183,68
69,10,1,0,547,548,1,1,1.0,0,0.0,0,0.0,300.0,300.0,5600.0,50.0,0.0,0,0.0,3448,308,1182,69
70,11,1,0,520,521,1,1,1.0,0,0.0,0,0.0,330.0,330.0,5630.0,50.0,0.0,0,0.0,3481,275,1181,70
71,11,0,0,576,576,0,0,0.0,0,0.0,0,0.0,330.0,330.0,5630.0,50.0,0.0,0,0.0,3455,301,1183,71
72,9,0,0,581,581,0,0,0.0,0,0.0,0,0.0,270.0,270.0,5570.0,50.0,0.0,0,0.0,3404,352,1183,72
73,9,0,0,540,540,0,0,0.0,0,0.0,0,0.0,270.0,270.0,5570.0,50.0,0.0,0,0.0,3412,344,1183,73
74,10,1,0,541,542,1,1,1.0,0,0.0,0,0.0,300.0,300.0,5600.0,50.0,0.0,0,0.0,3394,362,1183,74
75,9,0,0,556,556,0,0,0.0,0,0.0,0,0.0,270.0,270.0,5570.0,50.0,0.0,0,0.0,3386,370,1184,75
76,8,0,0,571,571,0,0,0.0,0,0.0,0,0.0,240.0,240.0,5540.0,50.0,0.0,0,0.0,3405,351,1186,76
77,6,0,0,582,582,0,0,0.0,0,0.0,0,0.0,180.0,180.0,5480.0,50.0,0.0,0,0.0,3390,366,1186,77
78,7,1,0,607,608,1,1,1.0,0,0.0,0,0.0,210.0,210.0,5510.0,80.0,0.0,0,0.0,3397,359,1185,78
79,8,1,0,615,616,1,1,1.0,0,0.0,0,0.0,240.0,240.0,5540.0,80.0,0.0,0,0.0,3400,356,1184,79
80,9,1,0,577,578,1,1,1.0,0,0.0,0,0.0,270.0,270.0,5570.0,80.0,0.0,0,0.0,3414,342,1183,80
81,9,0,0,579,579,0,0,0.0,0,0.0,0,0.0,270.0,270.0,5570.0,80.0,0.0,0,0.0,3406,350,1185,81
82,7,0,0,554,554,0,0,0.0,0,0.0,0,0.0,210.0,210.0,5510.0,80.0,0.0,0,0.0,3413,343,1185,82
83,7,0,0,561,561,0,0,0.0,0,0.0,0,0.0,210.0,210.0,5510.0,80.0,0.0,0,0.0,3417,339,1186,83
84,6,0,0,511,511,0,0,0.0,0,0.0,0,0.0,180.0,180.0,5480.0,80.0,0.0,0,0.0,3415,341,1187,84
85,5,0,0,521,521,0,0,0.0,0,0.0,0,0.0,150.0,150.0,5450.0,80.0,0.0,0,0.0,3425,331,1188,85
86,4,0,0,539,539,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3428,328,1188,86
87,4,0,0,551,551,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3474,282,1188,87
88,4,0,0,600,600,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3433,323,1188,88
89,4,0,0,566,566,0,0,0.0,0,0.0,0,0.0,120.0,120.0,5420.0,80.0,0.0,0,0.0,3404,352,1189,89
90,3,0,0,554,554,0,0,0.0,0,0.0,0,0.0,90.0,90.0,5390.0,50.0,0.0,0,0.0,3398,358,1189,90
91,3,0,0,537,537,0,0,0.0,0,0.0,0,0.0,90.0,90.0,5390.0,50.0,0.0,0,0.0,3419,337,1189,91
92,3,0,0,573,573,0,0,0.0,0,0.0,0,0.0,90.0,90.0,5390.0,50.0,0.0,0,0.0,3439,317,1189,92
93,3,0,0,575,575,0,0,0.0,0,0.0,0,0.0,90.0,90.0,5390.0,50.0,0.0,0,0.0,3415,341,1190,93
94,2,0,0,565,565,0,0,0.0,0,0.0,0,0.0,60.0,60.0,5360.0,50.0,0.0,0,0.0,3455,301,1191,94
95,2,1,0,624,625,1,1,1.0,0,0.0,0,0.0,60.0,60.0,5360.0,50.0,0.0,0,0.0,3452,304,1191,95
